Region,Abbr,Ecoregions,Bear_Population,Sea_Ice_Change,Population_Change,Path_Data,,
Chukchi Sea,CS,Divergent,2937,-25.8,Likely stable,M 98.565 106.271 L 103.154 108.872 L 109.097 112.298 L 116.781 116.805 L 119.26 120.839 L 123.403 127.546 L 126.732 133.303 L 115.824 143.861 L 106.09 153.231 L 97.0833 161.906 L 89.8385 162.37 L 80.8225 163.088 L 74.8927 163.575 L 70.1717 164.126 L 57.6582 165.306 L 51.7789 164.057 L 45.591 162.83 L 35.265 160.862 L 35.8535 147.43 L 36.5141 132.198 L 36.9526 121.563 L 37.5165 109.753 L 45.7989 106.971 L 55.6768 103.665 L 68.0943 99.6154 L 80.2503 95.8288 L 88.5375 100.525 Z,https://www.marineregions.org/gazetteer.php?p=details&id=4257,
Baffin Bay,BB,Seasonal,2826,-19.3,NA,M 170.922 275.736 L 171.634 273.804 L 173.98 274.312 L 177.29 274.989 L 180.878 275.704 L 185.208 276.591 L 190.171 277.653 L 195.996 284.519 L 201.7 291.179 L 205.764 295.962 L 207.322 302.018 L 208.933 308.812 L 210.764 316.446 L 212.383 322.941 L 213.979 329.742 L 215.811 337.134 L 217.15 342.504 L 218.355 347.52 L 208.811 346.796 L 198.954 345.977 L 188.251 345.155 L 178.2 344.418 L 174.051 340.05 L 168.718 334.574 L 165.01 330.656 L 162.825 323.115 L 160.85 315.905 L 159.382 310.185 L 152.646 307.088 L 146.391 304.318 L 148.515 300.104 L 151.286 294.404 L 153.525 289.854 L 158.397 287.456 L 163.898 284.872 L 168.452 282.462 L 169.609 279.362 Z,https://www.marineregions.org/gazetteer.php?p=details&id=4253,
Barents Sea,BS,Divergent,2644,-18.5,Likely stable,M 243.936 225.924 L 241.973 214.613 L 239.883 202.654 L 237.486 189.056 L 235.848 179.991 L 234.933 174.979 L 242.997 170.45 L 253.282 164.723 L 262.479 159.624 L 271.138 154.927 L 274.125 156.91 L 277.932 159.431 L 282.517 162.543 L 288.362 163.679 L 296.958 165.319 L 302.303 166.37 L 307.355 167.421 L 310.335 179.295 L 313.762 192.657 L 316.266 202.692 L 308.375 215.457 L 300.581 228.22 L 295.565 236.34 L 287.102 240.816 L 278.928 245.073 L 272.311 241.428 L 261.659 235.497 L 250.942 229.516 Z,https://www.marineregions.org/gazetteer.php?p=details&id=8526,
Foxe Basin,FB,Seasonal,2585,-14.2,Likely stable,M 97.6624 314.242 L 102.454 313.549 L 107.253 312.74 L 113.452 311.616 L 118.385 315.073 L 124.461 319.114 L 129.703 322.428 L 132.451 319.174 L 134.726 316.496 L 136.563 314.333 L 136.807 311.357 L 136.998 308.83 L 138.973 305.345 L 140.886 301.776 L 143.288 302.898 L 146.391 304.318 L 152.646 307.088 L 159.382 310.185 L 160.85 315.905 L 162.825 323.115 L 165.01 330.656 L 164.016 335.509 L 162.894 340.589 L 161.665 346.56 L 160.451 352.376 L 159.268 357.802 L 161.314 360.547 L 164.069 364.11 L 165.251 365.634 L 164.859 367.495 L 161.732 366.797 L 158.606 366.096 L 153.362 364.735 L 147.763 363.094 L 146.848 366.174 L 145.593 370.373 L 144.374 374.454 L 139.819 372.869 L 135.916 371.611 L 133.134 370.524 L 127.697 368.222 L 122.646 365.999 L 117.118 363.203 L 112.339 360.7 L 109.61 359.178 L 106.42 357.27 L 103.162 355.309 L 100.695 353.616 L 102.244 351.078 L 104.192 347.866 L 106.6 343.833 L 108.873 340.077 L 110.314 337.675 L 109.424 337.098 L 104.96 334.02 L 100.958 331.078 L 97.1764 328.14 L 93.5557 325.132 L 90.7338 322.673 L 92.5035 320.516 L 94.9664 317.544 Z,,
Lancaster Sounds,LS,Archipelago,2541,-7.2,NA,M 146.391 304.318 L 143.288 302.898 L 140.886 301.776 L 138.212 299.906 L 135.435 298.048 L 133.435 296.67 L 131.713 291.95 L 130.574 288.719 L 129.225 285.084 L 128.072 284.034 L 125.417 281.732 L 122.668 279.282 L 123.538 275.765 L 120.462 272.687 L 116.94 269.1 L 114.443 266.522 L 118.691 262.985 L 123.702 258.692 L 130.557 253.001 L 137.088 247.611 L 140.131 251.681 L 143.255 255.945 L 145.482 259.048 L 146.741 261.689 L 148.332 265.24 L 152.246 267.257 L 156.317 268.154 L 158.292 268.698 L 161.493 270.446 L 164.255 272.969 L 166.25 273.81 L 170.922 275.736 L 168.452 282.462 L 163.898 284.872 L 158.397 287.456 L 153.525 289.854 L 151.286 294.404 Z,,
Davis Strait,DS,Seasonal,2158,-18.6,NA,M 136.586 400.882 L 137.968 396.151 L 139.399 391.289 L 141.114 385.411 L 142.889 379.454 L 144.374 374.454 L 145.593 370.373 L 146.848 366.174 L 147.763 363.094 L 153.362 364.735 L 158.606 366.096 L 161.732 366.797 L 164.859 367.495 L 165.251 365.634 L 164.069 364.11 L 161.314 360.547 L 159.268 357.802 L 160.451 352.376 L 161.665 346.56 L 162.894 340.589 L 164.016 335.509 L 165.01 330.656 L 168.718 334.574 L 174.051 340.05 L 178.2 344.418 L 188.251 345.155 L 198.954 345.977 L 208.811 346.796 L 218.355 347.52 L 219.58 354.756 L 221.181 363.513 L 222.805 372.61 L 221.606 382.369 L 220.096 393.574 L 218.859 402.29 L 217.364 412.643 L 215.942 421.972 L 214.101 434.212 L 212.491 444.643 L 211.414 451.821 L 210.214 459.475 L 201.309 458.331 L 192.856 457.266 L 185.827 456.291 L 179.922 455.468 L 180.888 449.157 L 182.068 441.532 L 183.31 433.501 L 183.939 429.085 L 177.267 425.214 L 170.384 421.14 L 162.239 416.359 L 152.984 410.822 L 144.896 405.986 Z,https://www.marineregions.org/gazetteer.php?p=details&id=4250,
Gulf of Boothia,GB,Archipelago,1525,-14.1,Likely stable,M 113.452 311.616 L 116.009 308.038 L 118.333 304.759 L 120.286 302.134 L 122.194 299.512 L 122.427 296.214 L 122.624 293.575 L 124.418 291.287 L 126.512 288.546 L 129.225 285.084 L 130.574 288.719 L 131.713 291.95 L 133.435 296.67 L 135.435 298.048 L 138.212 299.906 L 140.886 301.776 L 138.973 305.345 L 136.998 308.83 L 136.807 311.357 L 136.563 314.333 L 134.726 316.496 L 132.451 319.174 L 129.703 322.428 L 124.461 319.114 L 118.385 315.073 Z,,
Northern Beaufort Sea,NB,Convergent,980,-7,NA,M 86.2995 280.662 L 84.8488 278.523 L 82.6727 275.287 L 80.7097 272.1 L 78.7177 268.595 L 76.3386 264.228 L 74.0122 259.501 L 72.5878 256.486 L 72.0647 252.724 L 71.919 251.488 L 70.3437 239.34 L 70.0173 236.857 L 69.1042 229.424 L 69.1075 229.397 L 87.8275 224.265 L 87.8347 224.263 L 87.8276 224.262 L 88.0991 220.239 L 88.7921 214.263 L 90.0366 208.05 L 93.5785 207.607 L 97.1932 207.156 L 102.691 206.495 L 111.268 205.497 L 121.921 204.339 L 127.798 203.686 L 134.356 202.971 L 141.136 202.146 L 145.365 201.861 L 144.525 204.478 L 143.985 209.094 L 143.66 214.889 L 143.38 221.233 L 143.145 224.777 L 143.385 228.595 L 143.857 232.675 L 144.129 237.132 L 139.284 240.651 L 134.461 244.256 L 132.705 242.013 L 129.899 237.769 L 127.813 234.253 L 122.781 237.179 L 117.557 240.044 L 112.913 242.471 L 114.186 244.787 L 110.813 246.893 L 108.188 248.714 L 107.798 249.527 L 105.784 250.7 L 103.719 251.917 L 102.246 252.772 L 102.198 255.597 L 102.273 258.87 L 102.384 262.049 L 105.224 266.153 L 100.225 270.031 L 94.7072 274.201 L 89.8144 278.055 Z,https://www.marineregions.org/gazetteer.php?p=details&id=4256,
Southern Beaufort Sea,SB,Divergent,900,-7.2,Likely decreased,M 69.4519 169.166 L 70.1717 164.126 L 74.8927 163.575 L 80.8225 163.088 L 89.8385 162.37 L 97.0833 161.906 L 96.1737 167.146 L 95.1806 174.032 L 94.2424 182.4 L 93.6801 190.417 L 93.4952 198.703 L 93.5785 207.607 L 90.0366 208.05 L 88.7921 214.263 L 88.0991 220.239 L 87.8276 224.262 L 87.8275 224.265 L 69.1075 229.397 L 69.1042 229.424 L 68.4667 220.318 L 68.2125 213.771 L 68.0715 207.478 L 67.9627 201.565 L 67.8333 195.731 L 67.8663 190.191 L 68.108 183.388 L 69.0481 174.248 Z,,
Western Hudson Bay,WH,Seasonal,842,-2.2,Likely decreased,M 90.7338 322.673 L 93.5557 325.132 L 97.1764 328.14 L 100.958 331.078 L 104.96 334.02 L 110.314 337.675 L 108.873 340.077 L 106.6 343.833 L 104.192 347.866 L 102.244 351.078 L 100.695 353.616 L 98.2002 357.713 L 95.4469 362.33 L 92.0134 368.207 L 89.3408 372.675 L 86.255 377.324 L 81.9398 373.941 L 77.7019 370.498 L 72.3433 365.839 L 67.5567 361.263 L 62.5476 356.407 L 65.4714 352.809 L 69.2179 348.205 L 74.5464 341.822 L 78.0359 337.763 L 81.8183 333.322 L 86.3023 328.073 Z,https://www.marineregions.org/gazetteer.php?p=details&id=4252,
Southern Hudson Bay,SH,Seasonal,780,-4.7,Likely decreased,M 100.695 353.616 L 103.162 355.309 L 106.42 357.27 L 112.339 360.7 L 117.118 363.203 L 122.646 365.999 L 127.697 368.222 L 133.134 370.524 L 135.916 371.611 L 139.819 372.869 L 144.374 374.454 L 142.889 379.454 L 141.114 385.411 L 139.399 391.289 L 137.968 396.151 L 136.586 400.882 L 134.077 403.774 L 131.218 406.984 L 127.215 411.31 L 122.517 416.126 L 117.153 421.37 L 113.221 425.046 L 107.013 422.769 L 102.386 420.957 L 97.8859 419.08 L 94.0217 417.378 L 92.251 412.812 L 90.6706 408.378 L 88.7353 402.485 L 87.2284 397.391 L 85.8453 392.208 L 84.9569 388.583 L 84.0029 385.905 L 82.9246 382.83 L 86.255 377.324 L 89.3408 372.675 L 92.0134 368.207 L 95.4469 362.33 Z,,
M'Clintock Channel,MC,Archipelago,716,-9,Likely increased,M 86.2995 280.662 L 89.8144 278.055 L 94.7072 274.201 L 100.225 270.031 L 105.224 266.153 L 106.984 268.045 L 109.563 270.926 L 111.415 269.246 L 114.443 266.522 L 116.94 269.1 L 120.462 272.687 L 123.538 275.765 L 122.668 279.282 L 125.417 281.732 L 129.225 285.084 L 126.512 288.546 L 124.418 291.287 L 122.624 293.575 L 122.427 296.214 L 122.194 299.512 L 120.286 302.134 L 118.333 304.759 L 116.009 308.038 L 113.452 311.616 L 107.253 312.74 L 102.454 313.549 L 97.6624 314.242 L 95.5424 310.566 L 93.0232 306.317 L 91.4875 303.611 L 88.7665 299.012 L 86.0189 294.241 L 83.3267 289.547 L 80.7583 285.126 L 83.5758 282.908 Z,,
Kane Basin,KB,Archipelago,357,-10.3,Likely increased,M 190.171 277.653 L 185.208 276.591 L 180.878 275.704 L 177.29 274.989 L 173.98 274.312 L 171.634 273.804 L 170.922 275.736 L 168.612 274.79 L 166.25 273.81 L 164.255 272.969 L 162.749 271.582 L 161.493 270.446 L 162.029 269.773 L 164.042 267.161 L 166.419 264.023 L 167.881 262.059 L 169.522 260.565 L 170.873 259.216 L 172.629 257.449 L 174.523 256.55 L 176.34 255.598 L 178.944 254.135 L 181.671 255.107 L 184.758 255.961 L 188.558 256.854 L 192.68 257.421 L 192.075 262.255 L 191.509 267.294 L 190.806 273.052 Z,https://www.marineregions.org/gazetteer.php?p=details&id=5122,in baffin bay?
Norwegian Bay,NW,Archipelago,203,-26.5,NA,M 161.493 270.446 L 158.292 268.698 L 156.317 268.154 L 152.246 267.257 L 148.332 265.24 L 146.741 261.689 L 145.482 259.048 L 143.255 255.945 L 140.131 251.681 L 137.088 247.611 L 140.187 247.74 L 143.976 247.81 L 147.824 247.711 L 152.901 247.22 L 156.902 246.535 L 159.911 249.019 L 162.908 251.429 L 166.159 253.673 L 168.98 255.552 L 172.629 257.449 L 170.873 259.216 L 169.522 260.565 L 167.881 262.059 L 166.419 264.023 L 164.042 267.161 Z,https://www.marineregions.org/gazetteer.php?p=details&id=2353,
Viscount Melville Sound,VM,Archipelago,161,-20,NA,M 137.088 247.611 L 130.557 253.001 L 123.702 258.692 L 118.691 262.985 L 114.443 266.522 L 113.781 267.121 L 111.415 269.246 L 109.563 270.926 L 108.279 269.475 L 106.984 268.045 L 105.224 266.153 L 104.127 264.635 L 102.384 262.049 L 102.273 258.87 L 102.198 255.597 L 102.246 252.772 L 103.719 251.917 L 105.784 250.7 L 107.798 249.527 L 108.188 248.714 L 110.813 246.893 L 114.186 244.787 L 112.913 242.471 L 117.557 240.044 L 122.781 237.179 L 127.813 234.253 L 129.899 237.769 L 132.705 242.013 Z,,
East Greenland,EG,Convergent,NA,NA,NA,M 220.096 393.574 L 221.606 382.369 L 222.805 372.61 L 226.727 369.39 L 231.347 365.542 L 233.749 357.391 L 236.725 347.435 L 241.281 332.673 L 244.312 322.899 L 247.558 312.009 L 245.577 302.036 L 243.518 290.392 L 241.234 278.529 L 238.89 265.843 L 232.489 261.626 L 225.381 256.926 L 214.566 249.817 L 215.39 243.911 L 216.412 236.013 L 217.435 229.695 L 224.509 228.776 L 233.81 227.347 L 243.936 225.924 L 250.942 229.516 L 261.659 235.497 L 272.311 241.428 L 278.928 245.073 L 279.246 253.816 L 280.408 268.65 L 281.546 280.213 L 282.467 289.468 L 282.088 294.058 L 281.078 306.315 L 275.618 316.966 L 269.141 329.876 L 261.981 344.287 L 256.654 355.039 L 255.572 363.82 L 254.302 374.402 L 253.263 382.957 L 246.736 390.21 L 240.015 397.457 L 233.534 398.634 L 228.194 399.741 L 223.681 396.238 Z,,
Kara Sea,KS,Divergent,NA,NA,NA,M 307.355 167.421 L 302.303 166.37 L 296.958 165.319 L 288.362 163.679 L 282.517 162.543 L 277.932 159.431 L 271.138 154.927 L 262.479 159.624 L 253.282 164.723 L 242.997 170.45 L 234.933 174.979 L 230.96 165.151 L 227.631 157.167 L 228.795 148.727 L 231.557 141.47 L 226.875 134.238 L 228.152 128.939 L 229.619 123.055 L 233.567 118.474 L 238.015 113.384 L 251.77 112.201 L 263.179 111.281 L 276.403 113.931 L 288.788 116.536 L 300.629 119.044 L 310.759 121.287 L 318.399 122.995 L 322.154 132.121 L 326.488 142.732 L 330.968 153.785 L 336.439 167.318 L 341.437 179.817 L 330.056 175.582 L 317.372 170.89 Z,https://www.marineregions.org/gazetteer.php?p=details&id=4246,
Laptev Sea,LP,Divergent,NA,NA,NA,M 227.631 157.167 L 218.132 149.054 L 212.046 143.813 L 206.972 139.643 L 187.459 137.858 L 169.522 136.272 L 145.955 134.593 L 126.732 133.303 L 123.403 127.546 L 119.26 120.839 L 116.781 116.805 L 109.097 112.298 L 103.154 108.872 L 98.565 106.271 L 108.749 99.5276 L 119.251 92.8009 L 128.373 86.9904 L 138.377 80.7472 L 155.562 78.8088 L 174.893 76.8445 L 196.831 74.8977 L 207.374 80.8207 L 220.055 88.0026 L 233.07 95.5367 L 246.693 103.622 L 242.307 108.572 L 238.015 113.384 L 233.567 118.474 L 229.619 123.055 L 228.152 128.939 L 226.875 134.238 L 231.557 141.47 L 228.795 148.727 Z,https://www.marineregions.org/gazetteer.php?p=details&id=4245,
Arctic Basin,AB,NA,NA,NA,NA,M 241.232 210.35 L 242.209 215.965 L 243.936 225.924 L 233.81 227.347 L 224.509 228.776 L 217.435 229.695 L 216.412 236.013 L 215.39 243.911 L 214.566 249.817 L 192.68 257.421 L 188.558 256.854 L 184.758 255.961 L 181.671 255.107 L 178.944 254.135 L 176.34 255.598 L 174.523 256.55 L 172.629 257.449 L 168.98 255.552 L 166.159 253.673 L 162.908 251.429 L 159.911 249.019 L 156.902 246.535 L 152.901 247.22 L 147.824 247.711 L 143.976 247.81 L 140.187 247.74 L 137.088 247.611 L 134.461 244.256 L 139.284 240.651 L 144.129 237.132 L 143.857 232.675 L 143.385 228.595 L 143.145 224.777 L 143.38 221.233 L 143.66 214.889 L 143.985 209.094 L 144.525 204.478 L 145.365 201.861 L 141.136 202.146 L 134.356 202.971 L 127.798 203.686 L 121.921 204.339 L 111.268 205.497 L 102.691 206.495 L 97.1932 207.156 L 93.5785 207.607 L 93.4952 198.703 L 93.6801 190.417 L 94.2424 182.4 L 95.1806 174.032 L 96.1737 167.146 L 97.0833 161.906 L 106.09 153.231 L 115.824 143.861 L 126.732 133.303 L 145.955 134.593 L 169.522 136.272 L 187.459 137.858 L 206.972 139.643 L 212.046 143.813 L 218.132 149.054 L 227.631 157.167 L 230.96 165.151 L 234.933 174.979 L 235.848 179.991 L 237.486 189.056 L 239.883 202.654 Z,,